Ｔ恤	/T shirt/
阿富汗	/Afghanistan/Afgan/
阿盖尔－比特	/Angyll and Bute/
阿格蒂岛	/Agatti Island/
阿根廷	/Argentina/
阿瓜斯卡达特斯	/Aguascalientes/
阿海	/A Hai/
阿赫内斯	/Aggeneys/
阿纪	/A Ji/
阿加德兹	/Agades/
阿加迪尔	/Agadir/
阿加尼亚	/Agana/
阿加西	/Agassi/
阿卡里瓜	/Acarigua/
阿卡普尔科	/Acapulco/
阿卡耶夫	/Akayev/
阿坎迪	/Acandi/
阿科斯塔	/Acosta/
阿克拉	/Accra/
阿克雷里	/Akureyri/
阿克伦	/Acheron/
阿克森姆	/Axum/
阿克苏	/Aksu/
阿克塔	/Arcata/Eureka/
阿肯色	/Arkansas/
阿肯色大学	/University of Arkansas/
阿空加瓜	/Aconcagua/
阿拉巴马	/Alabama/
阿拉伯	/Arabian/Arabic/Arab/
阿拉伯半岛	/Arabian Peninsula/
阿拉伯人	/Arab/
阿拉伯文	/Arabic/Arabic language/
阿拉伯语	/Arabic/Arabic language/
阿拉德	/Arad/
阿拉丁	/Aladdin/
阿拉法特	/Arafat/
阿拉瓜伊纳	/Araguaina/
阿拉加尔萨斯	/Aragarcas/
阿拉卡茹	/Aracaju/
阿拉拉夸拉	/Araracuara/Araraquara/
阿拉腊	/Ararat/
阿拉鲁卡	/Aranuka/
阿拉梅达	/Alameda/
阿拉摩	/Alamo/
阿拉莫戈多	/Alamogordo/
阿拉莫萨	/Alamosa/
阿拉木图	/Almaty/
阿拉萨图巴	/Aracatuba/
阿拉斯加	/Alaska/
阿拉斯加大学	/University of Alaska/
阿拉塔斯	/Alatas/
阿莱恩斯	/Alliance/
阿勒颇	/Aleppo/
阿勒泰	/Altay/
阿雷格里港	/Porto Alegre/
阿雷基帕	/Arequipa/
阿雷西沃	/Arecibo/
阿里	/Ali/
阿里卡	/Arica/
阿里斯蒂德	/Aristede/
阿历山德鲁波利斯	/Alexandroupolis/
阿利坎特	/Alicante/
阿利耶夫	/Aliyev/
阿灵顿	/Arlington/
阿琉	/Aliu/
阿卢拉	/Alula/
阿鲁巴	/Aruba/
阿鲁昆	/Aurukun Mission/
阿鲁沙	/Arusha/
阿鲁图亚	/Arutua/
阿罗赖岛	/Arorae Island/
阿罗士打	/Alor Setar/
阿洛岛	/Alor Island/
阿洛菲	/Alofi/
阿洛陶	/Alotau/
阿妈	/mom/mommy/mother/
阿马	/Armagh/
阿马哈尔	/Amahai/
阿马里洛	/Amarillo/
阿马纳布	/Amanab/
阿马孙湾	/Amazon Bay/
阿曼	/Oman/
阿毛	/A Mao/
阿美尼亚	/Armenia/
阿妹	/younger sister/sis/
阿们	/amen/
阿米巴	/amoeba/
阿米代尔	/Armidale/
阿明	/A Min/
阿摩尼亚	/ammonia/
阿摩司书	/Book of Amos/
阿姆阿姆	/Avu Avu/
阿姆利则	/Amritsar/
阿姆斯特丹	/Amsterdam/
阿纳	/Anaa/
阿纳海姆	/Anaheim/
阿纳科	/Anaco/
阿纳西	/Annecy/
阿内加达岛	/Anegada/
阿帕塔基	/Apataki/
阿皮亚	/Apia/
阿片	/opium/
阿平顿	/Upington/
阿奇里斯	/Aeschylus/
阿奇历斯	/Achilles/
阿恰布	/Akyab/
阿让	/Agen/
阿萨布	/Assab/
阿萨德	/Asade/
阿塞拜疆	/Azerbaijan/
阿瑟镇	/Arthur's Town/
阿森斯	/Athens/
阿森松岛	/Ascension Island/
阿什伯顿	/Ashburton/
阿什哈巴德	/Ashkhabad/
阿什兰	/Ashland/
阿什维尔	/Asheville/
阿斯伯里帕克	/Asbury Park/
阿斯马拉	/Asmara/
阿斯彭	/Aspen/
阿斯特	/Aste/
阿斯旺	/Aswan/
阿司匹林	/aspirin/
阿索萨	/Asosa/
阿塔尔	/ATar/
阿坦布阿	/Atambua/
阿特巴拉	/Atbara/
阿图奥纳	/Atuona/
阿托品	/atropine/
阿脱平	/Atropine/
阿瓦岛	/Aua Island/
阿瓦鲁	/Avarua/
阿瓦士	/Ahwaz/
阿旺曲沛	/Ngawang Choepel/
阿维兰热	/Havelange/
阿维尼翁	/Avignon/
阿雅丘	/Ajaccio/
阿亚库乔	/Ayacucho/
阿姨	/auntie/
阿吟	/A Yin/
阿扎尼亚	/Azhaniya/
阿正	/A Zheng/
阿兹	/Ards/
阿嗲	/A Dia/
埃	/dirt/dust/angstrom/
埃德贝里	/Edberg/
埃德蒙顿	/Edmonton/
埃德森	/Edson/
埃尔德哈特	/Elkhart/
埃尔多拉多	/El Dorado/
埃尔多雷特	/Eldoret/
埃尔金	/Elkins/
埃尔津詹	/Erzincan/
埃尔卡洪	/El Cajon/
埃尔科	/Elko/
埃尔克城	/Elk City/
埃尔帕索	/El Paso/
埃尔祖鲁姆	/Erzurum/
埃芬贝格	/Effenberg/
埃夫拉塔	/Ephrata/
埃弗莱斯	/Eveleth/
埃弗里特	/Everett/
埃及	/Egypt/
埃拉特	/Elat/
埃拉泽	/Elazig/
埃里克松	/Ericson/
埃里温	/Yerevan/
埃利奥特莱克	/Elliot Lake/
埃伦斯堡	/Ellensburg/
埃米尔	/emir/
埃默拉尔德	/Emerald/
埃默里维尔	/Emeryville/
埃默斯	/Amos/
埃姆斯	/Ames/
埃努古	/Enugu/
埃皮纳勒	/Epinal/
埃奇伍德	/Edgewood/
埃塞俄比亚	/Ethiopia/
埃塞克斯	/Essex/
埃森	/Essen/
埃斯基尔斯蒂纳	/Eskilstuna/
埃斯基谢希尔	/Eskisehir/
埃斯卡诺巴	/Escanaba/
埃斯科瓦	/Escovar/
埃斯孔迪多港	/Puerto Escondido/
埃斯佩兰斯	/Esperance/
埃斯特角城	/Punta Del Este/
埃斯特万	/Estevan/
埃特里克	/Ettrick/
埃文	/Avon/
埃文斯维尔	/Evansville/
挨	/lean to/in order/in sequence/next to/suffer/endure/drag out/delay/stall/play for time/
挨次	/one after another/in turn/one by one/
挨打	/take a beating/get a thrashing/come under attack/
挨个	/one by one/in turn/
挨个儿	/one by one/in turn/
挨近	/get close to/near to/
挨骂	/scolded/
挨门挨户	/from door to door/
挨着	/next to/sit by/lie by/
哎	/hey/lookout/why/
哎呀	/Damn/Ah/My God/
哎哟	/hey/ow/ouch/
唉	/yes/oh/right/alas/oh dear/
唉声叹气	/heave deep sighs/sign in despair/
哀	/sorrow/grief/pity/grieve for/lament/sob/wail/
哀兵必胜	/an army burning with righteous indignation is bound to win/
哀愁	/sad/sorrowful/
哀辞	/lament/
哀悼	/grieve over somebody's death/mourn over somebody's death/lament somebody's death/
哀告	/beg piteously/supplicate/
哀歌	/mournful song/dirge/elegy/
哀号	/cry piteously/wail/
哀鸿遍野	/land swarming with disaster victims/
哀乐	/funeral music/dirge/
哀怜	/feel compassion for/pity/
哀鸣	/plaintive whine/wail/
哀泣	/wail/
哀求	/entreat/implore/
哀伤	/grieved/sad/distressed/
哀思	/pensive/grief/
哀叹	/lament/bewail/bemoan/
哀痛	/grief/deep sorrow/
哀怨	/sad/plaintive/
皑	/white/
皑皑	/snow white/pure white/
癌	/cancer/carcinoma/
癌细胞	/cancer cell/
癌症	/cancer/carcinomatosis/
癌肿	/cancer/
蔼	/friendly/
矮	/short/not tall/
矮矮	/short/shortish/
矮凳	/low stool/
矮墩墩	/pudgy/dumpy/stumpy/
矮杆品种	/short-stalked variety/short straw variety/
矮秆作物	/short-stalked crops/
矮个儿	/person of short stature/short person/
矮林	/coppice/brushwood/
矮胖	/short and stout/dumpy/
矮小	/short and small/low and small/undersized/
矮星	/dwarf star/
矮壮素	/cycocel/
矮子	/short person/dwarf/
矮子里拔将军	/choose the best person available/
艾	/Artemisia vulgaris/Chinese mugwort/Ai/
艾奥梅	/Aiome/
艾奥瓦城	/Iowa City/
艾奥瓦大学	/University of Iowa/
艾伯尼港	/Port Albernie/
艾伯特王子城	/Prince Albert/
艾卜哈	/Abha/
艾德蕾德	/Adelaide/
艾迪生	/Addison/
艾恩	/Al Ain/
艾恩德霍芬	/Eindhoven/
艾恩伍德	/Ironwood/
艾尔利滩	/Airlie Beach/
艾尔迈拉	/Elmira/
艾尔蒙特	/El Monte/
艾尔斯山	/Ayers Rock/
艾哈迈德	/Achmed/
艾哈默德巴德	/Ahmedabad/
艾姬	/Aggie/
艾肯	/Aiken/
艾丽斯	/Alice/
艾丽斯普林斯	/Alice Springs/
艾卢克岛	/Ailuk Island/
艾绒	/moxa/
艾森豪威尔	/Eisenhower/gage/
艾森斯塔特	/Eisernstadt/
艾斯芒廷	/Iron Mountain/
艾图塔基岛	/Aitutaki Island/
艾文格	/Ai Wenge/
艾滋病	/AIDS/
艾滋病病毒	/AIDS virus/
艾滋病患者	/AIDS patient/
艾滋病抗体	/AIDS antibody/
艾炷	/moxa cone/
碍	/hinder/obstruct/block/
爱	/love/affection/fond of/like/
爱不释手	/fondle admiringly/
爱称	/term of endearment/pet name/diminutive/
爱达荷	/Idaho/
爱达荷大学	/University of Iowa/
爱达荷福尔斯	/Idaho Falls/
爱戴	/love and esteem/
爱德华	/Edward/
爱德玲	/Adeline/
爱迪生	/Edison/
爱丁堡	/Edinburgh/
爱尔福特	/Erfurt/
爱尔兰	/Ireland/
爱抚	/show tender care for/care for affectionately/
爱国	/patriotic/love of country/patriotism/
爱国立功	/patriotically rendering meritorious service/
爱国力量	/patriotic strength/
爱国旗帜	/patriotic flag/
爱国热情	/patriotic zeal/
爱国人士	/patriot/
爱国卫生运动	/patriotic health campaign/
爱国学生	/patriotic student/
爱国学生运动	/patriotic student movement/
爱国学者	/patriotic scholar/
爱国者	/patriot/
爱国主义	/patriotism/
爱好	/like/fond of/keen on/interest/hobby/
爱好者	/enthusiast/fan/amateur/lover/
爱荷华	/Iowa/
爱荷华大学	/University of Iowa/
爱护	/cherish/treasure/take good care of/
爱华	/Aihua/
爱军	/Aijun/love the army/
爱克斯光	/X-ray/Roentgen ray/
爱理不理	/look cold and indifferent/standoffish/
爱怜	/show tender affection for/
爱恋	/in love with/feel deeply attached to/
爱面子	/concerned about face-saving/sensitive about one's reputation/
爱民	/Aimin/love the people/
爱莫能助	/willing to help but unable to do so/
爱慕	/adore/admire/
爱女	/favored daughter/
爱琴海	/Aegean Sea/
爱情	/love/
爱人	/spouse/husband/wife/sweetheart/
爱人如己	/love others as self/
爱沙尼亚	/Estonia/Esthonia/
爱上	/falls in love with/
爱屋及乌	/love me/love my dog/
爱惜	/cherish/treasure/use sparingly/
爱因斯坦	/Einstein/
爱游玩	/playful/
爱憎	/love and hate/
爱憎分明	/clear about what to love and what to hate/
爱珍	/Aizhen/
爱滋病	/AIDS/
隘	/pass/defile/narrow/confined/in distress/
隘口	/pass/
隘路	/defile/narrow passage/
鞍	/saddle/
鞍钢宪法	/Charter of the Anshan Iron and Steel Company/
鞍马	/side horse/
鞍山	/Anshan/
氨	/ammonia/
氨化	/ammoniate/ammoniation/
氨基	/amino/amino-group/
氨基塑料	/aminoplastics/
氨基酸	/amino acid/
氨水	/ammonia water/
安	/content/calm/still/quiet/pacify/peace/
安阿伯	/Ann Arbor/
安安静静	/quiet/quietly/
安巴图迈因蒂	/Ambatomainty/
安巴托	/Ambato/
安保	/maintain security/
安本蒂	/Ambunti/
安博塞利	/Amboseli/
安步当车	/walk over leisurely instead of riding in a carriage/walk rather than ride/
安插	/place in a certain position/assign to a job/plant/
安大略	/Ontario/Ontario Lake/
安道尔	/Andorra/
安德烈	/Andre/
安德罗斯镇	/Andros Town/
安德内斯	/Andenes/
安德森	/Anderson/
安德松	/Anderson/
安的列斯群岛	/Netherlands Antilles/
安第斯山	/the Andes mountain range/
安第斯山脉	/Andes/
安定	/stable/quiet/settled/stabilize/maintain/stabilized/calm and orderly/
安定化	/stabilize/stabilization/
安定局面	/stable situation/stabilize the situation/
安东	/Anton/Antoon/Andong/
安东尼奥港	/Port Antonio/
安顿	/find a place for/help settle down/arrange for/undisturbed/peaceful/
安放	/lay/place/put in a certain place/
安分	/not go beyond one's bounds/law-abiding/
安分守己	/abide by the law and behave oneself/know one's place/
安福	/Anfu/Anfuku/
安抚	/placate/pacify/appease/
安哥拉	/Angola/
安哥拉城	/Angola/
安格斯	/Angus/
安圭拉	/Anguilla/
安国	/Anguo/Yasukuni/
安好	/safe and sound/well/
安华	/Anwar/
安徽	/Anhui/
安徽省	/Anhui Province/
安吉利斯港	/Port Angeles/
安家	/settle down/set up a home/
安家落户	/make one's home in a place/settle/
安静	/quiet/peaceful/calm/
安居乐业	/live and work in peace and contentment/
安卡拉	/Ankara/
安康	/good health/
安科纳	/Ancona/
安库德	/Ancud/
安乐	/peace and happiness/
安理会	/UN Security Council/
安禄山	/An Lushan/
安曼	/Amman/
安眠	/sleep peacefully/
安眠酮	/methaqualone/hyminal/
安民	/set the common people at ease/
安民告示	/notice to reassure the public/advance notice/
安民政策	/public-reassuring policy/policy to reassure the public/policy of setting the common people at ease/
安娜	/Anna/
安纳巴	/Annaba/
安纳波利斯	/Annapolis/
安乃近	/analgin/
安南	/Annam/Annamese/Annan/
安嫩代尔-埃斯克代尔	/Annandale & Eskdale/
安宁	/peaceful/tranquil/calm/composed/free from worry/
安宁片	/meprobamate/
安排	/arrange/plan/set up/
安培	/ampere/
安平	/Anping/Aeka/
安庆	/Anqing/
安丘	/Anqiu/
安全	/safe/secure/safety/security/
安全部	/safety ministry/safety department/
安全部队	/safety army/
安全措施	/safety measure/precautions/
安全带	/seat belt/
安全灯	/safety lamp/safelight/
安全阀	/safety valve/
安全感	/sense of security/
安全检查	/safety inspection/
安全局	/security of bureau/
安全局势	/security situation/
安全考虑	/security consideration/
安全理事会	/the UN Security Council/
安全年	/year of safety/
安全人员	/security personnel/safety personnel/
安全生产	/safety in production/
安全体系	/safe system/
安全网	/safety netting/
安全问题	/safety issue/security issue/
安全系数	/safety coefficient/factor/
安全性	/security/safety/
安全与交换委员会	/Securities and Exchange Communication/SEC/
安然	/safely/peacefully/at a rest/
安然无恙	/safe and sound/
安人	/Anren/
安如磐石	/as solid as rock/
安如泰山	/as secure as Mount Tai/as solid as a rock/
安设	/install/set up/
安身	/make one's home/take shelter/
安身立命	/settle down and get on with one's pursuit/
安神	/calm the nerves/soothe the nerves/relieve uneasiness of body and mind/
安生	/peaceful/restful/quiet/still/
安史之乱	/An-Shi Turmoil/
安适	/quiet and comfortable/
安顺	/Anshun/
安斯沃思	/Ainsworth/
安塔利亚	/Antalya/
安特卫普	/Antwerp/
安提瓜	/Antigua/
安提瓜岛	/Antigua/
安土重迁	/hate to leave a place where one has lived long/attached to one's native land and unwilling to leave it/
安危	/safety and danger/safety/
安慰	/comfort/console/
安稳	/smooth and steady/
安息	/rest/go to sleep/rest in peace/Parthia/
安息日	/Sabbath/
安闲	/peaceful and carefree/leisurely/
安祥	/serene/composed/unruffled/
安详	/serene/
安歇	/go to bed/retire for the night/
安心	/feel at ease/relieved/set one's mind at rest/keep one's mind on something/
安阳	/Anyang/
安逸	/easy and comfortable/easy/
安营	/pitch a camp/camp/
安于	/satisfied with/
安源	/Anyuan/
安葬	/bury/
安扎	/settle down/camp/
安之若素	/bear hardship with equanimity/regard wrongdoing with equanimity/
安置	/find a place for/help settle down/arrange for/
安装	/install/erect/fix/mount/installation/
安谧	/tranquil/peaceful/
安汶	/Ambon/
安瓿	/ampoule/
俺	/I/
俺们	/we/
按	/press/push/control/restrain/check/pressing down/according to/in the light of/
按比例发展	/develop in proportion/
按兵不动	/not throw the troops into battle/bide one's time/not take on action/
按步就班	/follow the prescribed order/keep to conventional ways/
按部就班	/along a prescribed path/follow the prescribed order/
按次	/on the order of numbers/sequentially/orderly/
按规定	/according to the stipulation/as decided/
按计划	/according to plan/as planned/
按劳分配	/distribution according to work/
按劳取酬	/compensate according to amount of work/
按理	/according to reason/in the ordinary course of events/normally/
按立	/ordinate/ordination/
按脉	/feel the pulse/take the pulse/
按摩	/massage/
按钮	/push button/
按期	/on schedule/on time/
按时	/on time/before deadline/on schedule/
按手礼	/ordinate/ordination/
按说	/in the ordinary course of events/ordinarily/normally/
按图索骥	/try to locate something/by following up a clue/
按蚊	/anopheles/malarial mosquito/
按下葫芦浮起瓢	/solve one problem only to find another cropping up/
按需分配	/distribution according to need/
按压	/hold back/
按语	/note/comment/
按照	/according to/in accordance with/in the light of/on the basis of/
按照法律	/according to the law/
按照计划	/according to the plan/as planned/
按照字面	/literally/
按捺	/restrain/control/
暗	/dark/gloomy/hidden/secret/
暗暗	/secretly/inwardly/
暗堡	/bunker/
暗藏	/hide/conceal/
暗潮	/undercurrent/
暗袋	/camera bag/
暗淡	/dim/faint/dismal/gloomy/
暗地里	/secretly/inwardly/on the sly/
暗电流	/undercurrent/
暗房	/darkroom/
暗管	/underground pipe/
暗害	/kill secretly/stab in the back/
暗含着	/imply/
暗号	/secret signal/secret sign/countersign/cipher/
暗合	/agree without prior consultation/coincide/happen to coincide/
暗盒	/magazine/cassette/
暗河	/underground river/
暗花儿	/veiled design incised in porcelain/veiled design incised in porcelain woven in fabric/
暗疾	/unmentionable disease/disease one is shamed of/
暗记儿	/secret mark/
暗间儿	/inner room/
暗箭	/attack by a hidden enemy/stab in the back/
暗礁	/submerged reef/submerged rock/
暗井	/blind shaft/winze/
暗流	/undercurrent/
暗杀	/assassinate/
暗伤	/internal injury/internal damage/invisible injury/invisible damage/
暗示	/drop a hint/hint/suggest/suggestion/
暗适应	/dark adaptation/
暗室	/darkroom/
暗送秋波	/make eyes at somebody while others are not looking/stealthily give somebody the glad eye/make secret overtures to somebody/
暗算	/plot against/
暗锁	/built-in lock/
暗滩	/hidden shoal/
暗探	/secret agent/detective/
暗无天日	/complete darkness/total absence of justice/
暗线	/dark line/
暗线光谱	/dark-line spectrum/
暗箱	/camera bellows/camera obscura/
暗笑	/laugh in one's sleeve/snigger/snicker/
暗影	/shadow/umbra/
暗语	/code word/
暗中	/in the dark/in secret/on the sly/surreptitiously/
暗转	/blackout/
暗自	/inwardly/to oneself/secretly/
暗娼	/unlicensed prostitute/unregistered prostitute/underground prostitute/
岸	/bank/shore/beach/coast/
岸边	/shore/
岸标	/lighthouse/shore beacon/
岸然	/solemn/serious/
岸上	/ashore/
胺	/amine/
案	/case/incident/record/file/table/
案板	/kneading board/chopping board/
案称	/counter scale/
案件	/law case/legal case/judicial case/
案卷	/records/files/archives/
案情	/details of a case/case/
案头	/on one's desk/
案文	/text/
案验	/investigate the evidence of a case/
案由	/main points of a case/brief/summary/
案子	/law case/legal case/judicial case/
肮	/dirty/filthy/
肮脏	/dirty/filthy/
昂	/high/raise/soaring/lift/expensive/
昂昂	/high-spirited/brave-looking/
昂德昂	/Anjouan/
昂古莱姆	/Angouleme/
昂贵	/expensive/costly/
昂纳克	/Honecker/
昂然	/upright and unafraid/
昂热	/Angers/
昂首	/hold one's head high/
昂首阔步	/stride forward with one's chin up/stride proudly ahead/
昂扬	/high-spirited/
盎	/abundant/bowl/dish/pot/
盎然	/abundant/full/overflowing/exuberant/
盎司	/ounce/
凹	/concave/hollow/depression/indentation/
凹岸	/concave bank/
凹板	/intaglio/gravure/
凹槽	/socket/
凹洞	/cavity/pit/
凹度	/concavity/
凹面镜	/concave mirror/
凹透镜	/concave lens/
凹凸不平	/uneven/
凹凸印刷	/embossing/die stamping/
凹凸轧花	/embossing/
凹陷	/hollow/sunken/depressed/
敖	/ramble/
敖德萨	/Odessa/
熬	/boil/stew/simmer/endure/
熬煎	/suffering/torture/
熬夜	/stay up late/stay up all night/
翱	/soar/hover/
翱翔	/hover/soar/
袄	/coat/jacket/short and lined coat/short and lined coat robe/
傲	/proud/overbearing/insolent/arrogant/
傲岸	/proud/haughty/
傲冰	/Aobing/
傲骨	/lofty and unyielding character/
傲慢	/arrogant/haughty/
傲气	/air of arrogance/haughtiness/
傲然	/loftily/proudly/unyieldingly/
傲视	/turn up one's nose/show disdain for/regard superciliously/
奥	/obscure/mysterious/
奥奥马鲁	/Oamaru/
奥本	/Auburn/
奥本大学	/Auburn University/
奥茨胡恩	/Oudtshoorn/
奥德赛	/The Odyssey/
奥德修斯	/Odysseus/
奥地利	/Austria/
奥尔巴尼	/Albany/
奥尔比亚	/Olbia/
奥尔布赖特	/Albright/
奥尔代斯	/Alldays/
奥尔德尼岛	/Alderney/
奥尔胡斯	/Aarhus/
奥尔良	/Orleans/
奥尔森	/Olson/
奥尔托纳	/Altoona/
奥格斯堡	/Augsburg/
奥古斯丁	/Augustin/
奥古斯塔	/Augusta/
奥古斯塔港	/Port Augusta/
奥赫里德	/Ohrid/
奥基	/Auki/
奥加拉拉	/Ogallala/
奥卡拉	/Ocala/
奥克拉荷马	/Oklahoma/
奥克拉荷马大学	/University of Oklahoma/
奥克拉荷马市	/Oklahoma City/
奥克兰	/Auckland/Oakland/
奥克姆	/Oakham/
奥克尼	/Orkny/
奥拉涅斯塔克	/Oranjestad/
奥兰	/Oran/
奥兰多	/Orlando/
奥兰加巴德	/Aurangabad/
奥兰治	/Orange/
奥兰治堡	/Orangeburg/
奥兰治镇	/Orange County/
奥勒松	/Aalesund/
奥利安	/Olean/
奥林	/Olin/
奥林匹克	/Olympic/
奥林匹克运动会	/Olympic games/
奥林匹亚	/Olympia/
奥卢	/Oulu/
奥罗维尔	/Oroville/
奥洛穆茨	/Olomouc/
奥马	/Omagh/
奥马哈	/Omaha/
奥马克	/Omak/
奥秘	/arcanum/secret/
奥妙	/profound and subtle/
奥什科什	/Oshkosh/
奥氏体	/austenite/
奥斯丁	/Austin/
奥斯卡	/Oscar/
奥斯卡罗萨	/Oskaloosa/
奥斯陆	/Oslo/
奥斯坦德	/Ostend/
奥斯特	/Oster/
奥斯汀	/Austin/
奥索尔诺	/Osorno/
奥塔姆瓦	/Ottumwa/
奥特曼	/Ottmann/
奥瓦通纳	/Owatonna/
奥西耶克	/Osijek/
奥运	/Olympic games/
奥运村	/Olympic Village/
奥运会	/Olympic Games/
奥佐纳	/Ozona/
懊	/regret/
懊悔	/feel remorse/repent/regret/
懊恼	/annoyed/vexed/upset/
懊丧	/dejected/despondent/depressed/
澳	/Australia/deep bay/cove/bay/harbor/
澳大利亚	/Australia/Australian/
澳门	/Aomen/Macao/Macau/
澳洲	/Australia/Australia Continent/
芭	/banana/herb/
芭蕉	/banana/
芭蕉扇	/palm-leaf fan/
芭蕾舞	/ballet/
捌	/complicated form of the numeral eight/split/
扒	/climb/pull/pull out/strip/hold on to/cling to/dig up/rake/push aside/crawl/snatch/
扒钉	/cramp/
扒开	/push aside/
扒拉	/push lightly/
叭	/bang/
叭啦	/ba-la/
吧	/dumb/ba/(sentence final article indicating polite suggestion, request, approval, doubt, uncertainly, etc.)/
笆	/fence/article made of bamboo strips/
笆斗	/round-bottomed basket/
八	/eight/8/
八八年	/year of eighty-eight/
八百	/eight hundred/
八宝	/eight treasures/
八倍体	/octoploid/
八边形	/octagon/
八成	/eighty percent/most probably/most likely/
八达岭	/Badaling/
八带鱼	/octopus/
八度	/octave/
八二年	/year of eighty-two/
八方	/the eight points of the compass/all directions/
八分音符	/quaver/eighth note/
八哥儿	/myna/
八股	/eight-part essay/stereotyped writing/
八国联军	/the Eight Power Allied Force/
八号	/the eighth day/the 8th/
八户	/Hachinohe/
八会穴	/the Eight Strategic Nerve Points/
八级风	/force 8 wind/fresh gale/
八级工	/eight grade worker/top-grade worker/
八级工资制	/eight grade wage system/eight grade wage scale/
八家	/eight families/
八角	/anise/star anise/aniseed/octagonal/
八角枫	/alangium/
八九不离十	/pretty close/very near/about right/
八九年	/year of eighty-nine/
八开	/octavo/
八零年	/year of eighty/
八六年	/year of eighty-six/
八路	/the Eighth Route Army/
八路军	/the Eighth Route Army/
八面玲珑	/smooth and slick/
八年	/eight years/
八七年	/year of eighty-seven/
八旗	/the Eight Banners/
八千	/eight thousand/8000/
八日	/the eighth/the 8th/eight days/
八三年	/year of eighty-three/
八十	/eighty/80/
八十八	/eighty eight/
八十二	/eighty two/
八十九	/eighty nine/
八十六	/eighty six/
八十七	/eighty seven/
八十三	/eighty three/
八十四	/eighty four/
八十五	/eighty five/
八十一	/eighty one/
八四	/eighty-four/year of eighty-four/84/
八四年	/year of eighty-four/
八天	/eight days/
八王子岛	/Hachijojima Island/
八五年	/year of eighty-five/
八仙	/the Eight Immortals/
八仙过海	/like the Eight Immortals crossing the sea/
八仙桌	/old fashioned square table to seat eight people/
八项注意	/Eight Points for Attention/
八小时工作制	/eight hour working day/
八一	/Army's Day/August 1st/
八一年	/eighty-one/year of eighty-one/
八一起义	/August First Uprising/
八月	/eighth month/August/
八月份	/August/
八字	/character 8/Eight Characters/
八字宪法	/the Eight-Point Charter/
八卦	/the Eight Diagrams/
疤	/scar/
疤痕	/scar/
巴	/hope/wish/(suffix for certain nouns)/
巴巴多斯	/Barbados/
巴贝多	/Barbados/
巴比伦	/Babylon/
巴比特	/Babbit/
巴比妥	/barbitone/barbital/
巴不得	/anxious/look forward to/earnestly wish for/
巴布内斯瓦尔	/Bhubaneswar/
巴布亚新几内亚	/Papua New Guinea/
巴德诺赫	/Badenoch/
巴德诺赫－斯特拉斯佩	/Badenoch and Strathspey/
巴东	/Padang/
巴豆	/croton/
巴杜岛	/Badu Island/
巴顿	/Barton/
巴儿狗	/pekingese/sycophant/lackey/
巴尔	/Baltic/
巴尔的摩	/Baltimore/
巴尔干	/Balkan/
巴尔拉纳德	/Balranald/
巴尔马塞特	/Balmaceda/
巴尔舍夫斯基	/Barshefsky/
巴伐利亚	/Bavaria/
巴格达	/Baghdad/
巴哈马	/the Bahamas/Bahamas/
巴赫	/Bach/
巴赫达尔	/Bahar Dar/
巴基斯坦	/Pakistan/
巴结	/fawn on/curry favor with/make up to/
巴解	/PLO/
巴卡尔丁	/Barcaldine/
巴克乌	/Bacau/
巴克夏猪	/Berkshire swine/
巴枯宁主义	/Bakuninism/
巴库	/Baku/
